pico_Interval Start,pico_Interval End,pico_Interval Duration
13765607.000,14153585.000,387978.000
14520196.000,14580532.000,60336.000
15236295.000,15236303.000,8.000
15236323.000,15821202.000,584879.000
16172647.000,16172719.000,72.000
17119362.000,17119368.000,6.000
18119574.000,18119646.000,72.000
21362956.000,21362958.000,2.000
21362956.000,21362958.000,2.000
21362960.000,21362960.000,0.000
21362964.000,21362964.000,0.000
21362966.000,21362968.000,2.000
21362976.000,21362980.000,4.000
21362976.000,21362980.000,4.000
21362984.000,21362984.000,0.000
21362988.000,21362990.000,2.000
21362992.000,21363000.000,8.000
21363002.000,21363006.000,4.000
21363008.000,21363008.000,0.000
21363010.000,21363014.000,4.000
21363020.000,21363020.000,0.000
21363024.000,21363024.000,0.000
21363040.000,21363040.000,0.000
21363042.000,21363044.000,2.000
21363048.000,21363052.000,4.000
21363048.000,21363052.000,4.000
21363056.000,21363058.000,2.000
21363056.000,21363058.000,2.000
21363060.000,21363062.000,2.000
21363064.000,21363064.000,0.000
21363068.000,21363072.000,4.000
21363072.000,21363072.000,0.000
21363072.000,21363072.000,0.000
21363074.000,21363076.000,2.000
21363078.000,21363080.000,2.000
21363084.000,21363086.000,2.000
21363084.000,21363086.000,2.000
21363096.000,21363098.000,2.000
21363096.000,21363098.000,2.000
21363100.000,21363100.000,0.000
21363104.000,21363110.000,6.000
21363104.000,21363110.000,6.000
21363112.000,21363112.000,0.000
21363120.000,21363120.000,0.000
21363120.000,21363120.000,0.000
21363122.000,21363124.000,2.000
21363132.000,21363136.000,4.000
21363136.000,21363138.000,2.000
21363136.000,21363138.000,2.000
21363140.000,21363142.000,2.000
21363144.000,21363144.000,0.000
21363148.000,21363148.000,0.000
21363152.000,21363152.000,0.000
21363160.000,21363164.000,4.000
21363160.000,21363164.000,4.000
21363172.000,21363174.000,2.000
21363172.000,21363174.000,2.000
21363176.000,21363178.000,2.000
21363184.000,21363188.000,4.000
21363188.000,21363192.000,4.000
21363192.000,21363194.000,2.000
21363192.000,21363194.000,2.000
21363196.000,21363196.000,0.000
21363200.000,21363204.000,4.000
21363204.000,21363206.000,2.000
21363204.000,21363206.000,2.000
21363208.000,21363210.000,2.000
21363212.000,21363214.000,2.000
21363216.000,21363218.000,2.000
21363220.000,21363220.000,0.000
21363224.000,21363224.000,0.000
21363224.000,21363224.000,0.000
21363228.000,21363234.000,6.000
21363236.000,21363238.000,2.000
21363240.000,21363244.000,4.000
21363244.000,21363248.000,4.000
21363244.000,21363248.000,4.000
21363252.000,21363252.000,0.000
21363254.000,21363256.000,2.000
21363260.000,21363260.000,0.000
21363264.000,21363266.000,2.000
21363272.000,21363274.000,2.000
21363284.000,21363286.000,2.000
21363288.000,21363290.000,2.000
21363292.000,21363296.000,4.000
21363296.000,21363298.000,2.000
21363296.000,21363298.000,2.000
21363300.000,21363306.000,6.000
